Series Name,Series Code,Country Name,Country Code,Inflation
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Not classified,INX,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,OECD members,OED,0.597251636
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Other small states,OSS,3.81041393
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Pacific island small states,PSS,0.798863838
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Small states,SST,2.120113096
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,South Asia,SAS,6.672179936
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Sub-Saharan Africa (all income levels),SSF,4.39148799
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Sub-Saharan Africa (developing only),SSA,4.40313594
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Upper middle income,UMC,2.957524337
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,World,WLD,2.510876333
